INFO 09-06 02:22:34 [scheduler.py:241] Chunked prefill is enabled with max_num_batched_tokens=2048.
INFO 09-06 02:22:34 [kernel.py:365] Final IR op priority after setting platform defaults: IrOpPriorityConfig(rms_norm=['native'], fused_add_rms_norm=['native'])
INFO 09-06 02:22:36 [import_utils.py:478] DeepEP v2 requires NCCL >= 2.30.4 but found 2.29.7. deepep_v2 backend will not be available.
  dense      M=    8 uniform  -> full   3107.44  gemm   3039.97  actq   148.05  meta   242.43 us
  dense      M=    8 zipf     -> full   2407.99  gemm   2338.65  actq   147.92  meta   242.89 us
  dense      M=   16 uniform  -> full   4626.92  gemm   4535.47  actq   147.81  meta   241.70 us
  dense      M=   16 zipf     -> full   3447.24  gemm   3357.81  actq   148.41  meta   240.93 us
  dense      M=   32 uniform  -> full   5895.55  gemm   5767.56  actq   147.59  meta   241.34 us
  dense      M=   32 zipf     -> full   4392.30  gemm   4258.78  actq   146.23  meta   243.08 us
  dense      M=   64 uniform  -> full   6394.23  gemm   6195.95  actq   146.69  meta   242.69 us
  dense      M=   64 zipf     -> full   5489.86  gemm   5292.67  actq   147.85  meta   245.84 us
  dense      M=  128 uniform  -> full   6585.20  gemm   6315.23  actq   147.11  meta   247.30 us
  dense      M=  128 zipf     -> full   6494.29  gemm   6194.46  actq   146.85  meta   246.42 us
  dense      M=  256 uniform  -> full   6969.03  gemm   6420.88  actq   227.87  meta   311.77 us
  dense      M=  256 zipf     -> full   6944.15  gemm   6402.58  actq   218.46  meta   318.80 us
  dense      M=  512 uniform  -> full   8000.75  gemm   6659.77  actq   562.90  meta   771.33 us
  dense      M=  512 zipf     -> full   7949.02  gemm   6614.74  actq   570.26  meta   778.11 us
  dense      M= 1024 uniform  -> full   9788.26  gemm   7098.56  actq  1146.63  meta  1532.07 us
  dense      M= 1024 zipf     -> full   9767.54  gemm   7102.93  actq  1136.61  meta  1559.24 us
  dense      M= 1792 uniform  -> full  12460.88  gemm   7422.17  actq  2051.55  meta  2672.64 us
  dense      M= 1792 zipf     -> full  12769.90  gemm   7825.61  actq  2099.19  meta  2648.65 us
  epcompact  M=    8 uniform  -> full   1381.02  gemm   1328.23  actq   144.02  meta   237.47 us
  epcompact  M=    8 zipf     -> full   1914.83  gemm   1844.01  actq   145.06  meta   238.17 us
  epcompact  M=   16 uniform  -> full   2306.00  gemm   2253.97  actq   144.56  meta   236.03 us
  epcompact  M=   16 zipf     -> full   3023.63  gemm   2914.86  actq   144.00  meta   238.36 us
  epcompact  M=   32 uniform  -> full   3715.79  gemm   3621.72  actq   144.58  meta   237.05 us
  epcompact  M=   32 zipf     -> full   4535.30  gemm   4397.12  actq   143.92  meta   237.16 us
  epcompact  M=   64 uniform  -> full   5678.20  gemm   5528.60  actq   142.42  meta   236.31 us
  epcompact  M=   64 zipf     -> full   5695.49  gemm   5504.00  actq   145.71  meta   237.27 us
  epcompact  M=  128 uniform  -> full   6088.89  gemm   5889.73  actq   144.86  meta   237.02 us
  epcompact  M=  128 zipf     -> full   6393.73  gemm   6060.51  actq   145.37  meta   242.71 us
  epcompact  M=  256 uniform  -> full   6463.39  gemm   6190.83  actq   145.88  meta   241.60 us
  epcompact  M=  256 zipf     -> full   6977.10  gemm   6363.33  actq   224.27  meta   370.88 us
  epcompact  M=  512 uniform  -> full   6860.56  gemm   6354.32  actq   195.33  meta   302.24 us
  epcompact  M=  512 zipf     -> full   7971.26  gemm   6561.93  actq   527.11  meta   917.62 us
  epcompact  M= 1024 uniform  -> full   7696.54  gemm   6559.92  actq   449.06  meta   741.46 us
  epcompact  M= 1024 zipf     -> full   9812.33  gemm   6929.07  actq  1093.13  meta  1836.33 us
  epcompact  M= 1792 uniform  -> full   8880.72  gemm   6764.93  actq   797.82  meta  1361.48 us
  epcompact  M= 1792 zipf     -> full  12537.18  gemm   7618.22  actq  1873.61  meta  3165.74 us
WROTE /bench/out/split.json
